transaction,category,confidence,explanation
METAL MERRY CHRISTMAS WREATH,Bills & Utilities,0.7431,The model identified patterns in the keywords: 'metal merry christmas wreath'.
WHITE CHRISTMAS GARLAND STARS TREES,Food & Dining,0.9445,The model identified patterns in the keywords: 'white christmas garland stars trees'.
RETROSPOT SMALL TUBE MATCHES,Medical,0.8582,The model identified patterns in the keywords: 'retrospot small tube matches'.
RETROSPOT GIANT TUBE MATCHES,Other,0.3926,Model confidence was low; classified as Other.
PLACE SETTING WHITE STAR,Shopping,0.7793,The model identified patterns in the keywords: 'place setting white star'.
GROW YOUR OWN BASIL IN ENAMEL MUG,Food & Dining,0.9802,The model identified patterns in the keywords: 'grow your basil enamel'.
36 FOIL STAR CAKE CASES ,Food & Dining,0.9993,The model identified patterns in the keywords: 'foil star cake cases'.
36 FOIL HEART CAKE CASES,Food & Dining,0.9994,The model identified patterns in the keywords: 'foil heart cake cases'.
PACK OF 6 SWEETIE GIFT BOXES,Shopping,0.9988,The model identified patterns in the keywords: 'pack sweetie gift boxes'.
PACK OF 6 HANDBAG GIFT BOXES,Shopping,0.9995,The model identified patterns in the keywords: 'pack handbag gift boxes'.
GARLAND WOODEN HAPPY EASTER,Shopping,0.6145,The model identified patterns in the keywords: 'garland wooden happy easter'.
CALENDAR PAPER CUT DESIGN,Shopping,0.9909,The model identified patterns in the keywords: 'calendar paper design'.
CALENDAR IN SEASON DESIGN,Shopping,0.9163,The model identified patterns in the keywords: 'calendar season design'.
SMALL POPCORN HOLDER,Food & Dining,0.9989,The model identified patterns in the keywords: 'small popcorn holder'.
BLUE PAISLEY TISSUE BOX,Shopping,0.9964,The model identified patterns in the keywords: 'blue paisley tissue'.
HEART OF WICKER SMALL,Food & Dining,0.7754,The model identified patterns in the keywords: 'heart wicker small'.
SKULLS SQUARE TISSUE BOX,Other,0.5863,Model confidence was low; classified as Other.
PINK PAISLEY SQUARE TISSUE BOX ,Shopping,0.9987,The model identified patterns in the keywords: 'pink paisley square tissue'.
PACK OF 6 HANDBAG GIFT BOXES,Shopping,0.9995,The model identified patterns in the keywords: 'pack handbag gift boxes'.
TOAST ITS - HAPPY BIRTHDAY,Food & Dining,0.9991,The model identified patterns in the keywords: 'toast happy birthday'.
SET/10 IVORY POLKADOT PARTY CANDLES,Shopping,0.9498,The model identified patterns in the keywords: 'set/10 ivory polkadot party candles'.
SET/10 BLUE POLKADOT PARTY CANDLES,Food & Dining,0.9013,The model identified patterns in the keywords: 'set/10 blue polkadot party candles'.
SET/10 PINK POLKADOT PARTY CANDLES,Food & Dining,0.7855,The model identified patterns in the keywords: 'set/10 pink polkadot party candles'.
